id,owner,timestamp,type,version,bench reference,crate weight timestamp,crop name,weight in kilograms
70694,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00009,2024-01-07 16:26:17+00:00,Crisp leaf green,-3.9896710969440217
70695,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00151,2024-01-07 16:26:17+00:00,Crisp leaf green,3.436237169824535
70696,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00409,2024-01-07 16:26:17+00:00,Crisp leaf green,7.280575730523073
70697,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00154,2024-01-07 16:26:17+00:00,Crisp leaf green,1.1295726981890164
70698,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00329,2024-01-07 16:26:17+00:00,Crisp leaf green,2.8311138611916875
70699,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00026,2024-01-07 16:32:01+00:00,Crisp leaf green,5.619603872299194
70700,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01017,2024-01-07 16:37:53+00:00,Crisp leaf green,1.9701484142407326
70701,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00696,2024-01-07 16:37:53+00:00,Crisp leaf green,5.284840973305668
70702,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00208,2024-01-07 16:37:53+00:00,Crisp leaf green,4.643540618862291
70703,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 16:39:32+00:00,Crop not found,0.19849538803100586
70704,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 16:39:51+00:00,Crop not found,-0.03619527816772461
70705,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01074,2024-01-07 16:42:30+00:00,Crisp leaf green,0.9943389892578125
70706,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00071,2024-01-07 16:45:54+00:00,Crisp leaf green,3.4945757095471977
70707,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00180,2024-01-07 16:45:54+00:00,Crisp leaf green,2.725465565477216
70708,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00570,2024-01-07 16:49:13+00:00,Incise leaf green,2.6174236765526384
70709,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00733,2024-01-07 16:49:13+00:00,Incise leaf green,2.731681681571141
70710,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 16:50:31+00:00,Crop not found,-4.089310646057129
70711,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00271,2024-01-07 17:26:26+00:00,Incise leaf green,1.7993570478153391
70712,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00543,2024-01-07 17:26:26+00:00,Incise leaf green,2.5667728273677666
70713,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 17:28:22+00:00,Crop not found,1.5483055114746094
70714,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 17:29:49+00:00,Crop not found,0.047504425048828125
70715,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00796,2024-01-07 17:32:16+00:00,Crisp leaf green,0.007031917572021484
70716,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 17:37:06+00:00,Crop not found,1.9598891735076904
70717,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 17:38:07+00:00,Crop not found,-0.016538619995117188
70718,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00122,2024-01-07 17:41:59+00:00,Crisp leaf green,2.1474862098693848
70719,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 17:44:46+00:00,Crop not found,0.34668874740600586
70720,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00745,2024-01-07 17:51:29+00:00,Incise leaf green,3.6807949542999268
70721,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 17:57:50+00:00,Crop not found,0.08079910278320312
70722,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00338,2024-01-07 18:23:35+00:00,Incise leaf green,3.044952167973094
70723,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00681,2024-01-07 18:23:35+00:00,Incise leaf green,2.817029462352224
70724,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 18:27:26+00:00,Crop not found,0.966163158416748
70725,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00755,2024-01-07 18:29:58+00:00,Crisp leaf green,3.4832534790039062
70726,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-07 18:31:44+00:00,Crop not found,1.8179001808166504
70727,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00029,2024-01-08 19:18:02+00:00,Crop not found,-0.009236812591552734
70728,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00063,2024-01-08 22:55:14+00:00,Crop not found,0.24524478252450174
70729,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00627,2024-01-08 22:55:14+00:00,Crop not found,-0.25637102553328467
70730,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00029,2024-01-08 22:55:14+00:00,Crop not found,0.02012542978986497
70731,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00322,2024-01-08 22:55:14+00:00,Crop not found,-0.11030920150581348
70732,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00356,2024-01-09 14:13:09+00:00,Incise leaf green,3.70312209520681
70733,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00574,2024-01-09 14:13:09+00:00,Incise leaf green,3.4868060698261494
